Lp.,Nazwa,NIP,Akcja,Miasto,Kod,Ulica,Komunikat
9,WELLWELL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,5252696972,updated,Warszawa,00-419,Rozbrat 44A/201,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
10,WANAKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,7692237790,updated,Bełchatów,97-400,Generała Czyżewskiego 50A,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
11,VOLTOM Tomasz Kondej,6842461963,updated,Odrzykoń,38-406,Bratkówka 83,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
15,TWOJE KW SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,5272946107,updated,Warszawa,01-001,Aleja Jana Pawła II 43A/37B,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
25,SUNNYSYSTEM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCI,5242838761,updated,Warszawa,01-001,Aleja Jana Pawła II 43A/37B,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
52,RAFAŁ STEPNOWSKI IDOMQ INTELIGENTNE INSTALACJE,7582043323,updated,Ostrołęka,07-410,kadm. Włodzimierza Steyera 2F/109,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
55,PUH EL-PROTEKT KAMIL ROGASIK,6931865030,updated,GÓRA,56-200,Sosnowa 28 56-200,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
60,PROMAD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,8542414788,updated,Stargard,73-110,Brzozowa 1D/1U,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
70,PANELE FOTOWOLTAICZNE Łukasz Zdrojewski,5542673241,updated,Warszawa,03-216,Modlińska 6A/217,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
77,NERD ARMY  SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,8943178046,updated,Wrocław,50-421,Na Grobli 12/L-03,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
