Lp.,Nazwa,NIP,Akcja,Miasto,Kod,Ulica,Komunikat
1,VACARA a.s.,10808230,inserted,VALAŠSKÉ MEZIŘÍČÍ,757 01,HEMY 861,Dodano nowego klienta. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
8,YUMA GmbH,330656864,inserted,Köln,50825,Lichtstr. 25,Dodano nowego klienta. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
9,LUCIDUS SIA,40003894734,inserted,Riga,1058,Tiraines iela 3A,Dodano nowego klienta. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
21,SOLAR FOTOWOLTAIKA Dariusz Andrzejewicz,5781529033,inserted,Elbląg,82-300,Aleja Grunwaldzka 2/B28/2,Dodano nowego klienta. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
26,RICAR CENTRUM KEMPINGOWE MONIKA BISCHOFF,6171428682,inserted,Łaszew,63-300,Łaszew 26,Dodano nowego klienta. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
53,JAT-MAR CAMP Paweł Domaszewski,7182107930,inserted,Piątnica Poduchowna,18-421,Kownaty 48A,Dodano nowego klienta. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
62,SOLSUM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,7343514966,inserted,Świniarsko,33-395,Świniarsko 821,Dodano nowego klienta. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
86,JANPOL TECHNOLOGIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZI,7881788404,inserted,Brzozie Lubawskie,13-306,Brzozie Lubawskie 73,Dodano nowego klienta. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
89,MONOS Lucyna Procyk,7950013713,inserted,Kniażyce,37-734,Kniażyce 2,Dodano nowego klienta. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
99,EL INSTALATOR BOGDAN URBANEK,8392174459,inserted,Słupsk,76-200,Wiatraczna 4E/46,Dodano nowego klienta. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
125,Teditronic S.L.,B30665400,inserted,CARTAGENA,30353,AVENIDA LUXEMBURGO   G-7,Dodano nowego klienta. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
126,NEW POWER ENERGY GMBH,HR 74577994777,inserted,Graz,8010,Conrad-von-Hötzendorf-Straße 99,Dodano nowego klienta. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
